,index,seed,batch_size,learning_rate,accuracy
300,33,1774820585,40,0.01,99.37
301,33,1774820585,70,0.001,99.3
302,33,1774820585,70,0.005,99.11999999999999
303,33,1774820585,70,0.01,98.92999999999999
304,34,1818045884,10,0.001,99.29
305,34,1818045884,10,0.005,99.26
306,34,1818045884,10,0.01,99.13
307,34,1818045884,40,0.001,99.53
308,34,1818045884,40,0.005,99.33
309,34,1818045884,40,0.01,99.27
310,34,1818045884,70,0.001,99.0
311,34,1818045884,70,0.005,99.03999999999999
312,34,1818045884,70,0.01,98.83
313,35,1870182756,10,0.001,99.47
314,35,1870182756,10,0.005,99.24
315,35,1870182756,10,0.01,99.41
316,35,1870182756,40,0.001,99.39
317,35,1870182756,40,0.005,99.38
318,35,1870182756,40,0.01,99.3
319,35,1870182756,70,0.001,99.00999999999999
320,35,1870182756,70,0.005,98.66
321,35,1870182756,70,0.01,98.71
322,36,1924016057,10,0.001,99.33
323,36,1924016057,10,0.005,99.32
324,36,1924016057,10,0.01,99.31
325,36,1924016057,40,0.001,99.27
326,36,1924016057,40,0.005,99.31
327,36,1924016057,40,0.01,99.38
328,36,1924016057,70,0.001,99.16
329,36,1924016057,70,0.005,98.65
330,36,1924016057,70,0.01,98.77
331,37,1939426539,10,0.001,99.17
332,37,1939426539,10,0.005,99.22
333,37,1939426539,10,0.01,99.17
334,37,1939426539,40,0.001,99.4
335,37,1939426539,40,0.005,99.31
336,37,1939426539,40,0.01,99.21
337,37,1939426539,70,0.001,99.03
338,37,1939426539,70,0.005,98.96000000000001
339,37,1939426539,70,0.01,99.03
340,38,194463276,10,0.001,99.45
341,38,194463276,10,0.005,99.22
342,38,194463276,10,0.01,99.29
343,38,194463276,40,0.001,99.42
344,38,194463276,40,0.005,99.33
345,38,194463276,40,0.01,99.33
346,38,194463276,70,0.001,99.00999999999999
347,38,194463276,70,0.005,98.91
348,38,194463276,70,0.01,98.61
349,39,1945629336,10,0.001,99.27
350,39,1945629336,10,0.005,99.17
351,39,1945629336,10,0.01,99.19
352,39,1945629336,40,0.001,99.45
353,39,1945629336,40,0.005,99.29
354,39,1945629336,40,0.01,99.35000000000001
355,39,1945629336,70,0.001,99.07000000000001
356,39,1945629336,70,0.005,98.6
357,39,1945629336,70,0.01,98.92
358,40,1961993187,10,0.001,99.33
359,40,1961993187,10,0.005,99.24
360,40,1961993187,10,0.01,99.28
361,40,1961993187,40,0.001,99.53
