index,fusion method,rgb_equalization,th_equalization,R,P,mAP50,mAP50-95
127,VTHS,none,none,0.8993013731630932,0.9582784710606429,0.9601817870726513,0.6606233940351277
128,VTHS,none,none,0.8928801522955542,0.9508702948655927,0.9480802888171357,0.6232928830551845
129,VTHS,none,none,0.9080243517427328,0.9634477612277794,0.9621815728486409,0.6557044393064644
130,VTHS,none,none,0.9058058299205011,0.9585129441363434,0.9580631492769424,0.6570884098036422
131,VTHS,none,none,0.9142375331245483,0.9575243544828358,0.9623062724941777,0.6475183964128228
132,VTHS,none,none,0.9206215369790411,0.9619597430610473,0.9675734987890224,0.6637028151588491
133,VTHS,none,none,0.9152563790000553,0.9575323841599287,0.9652722110820631,0.6735464388811633
134,VTHS,none,none,0.896423749350755,0.9659921779997279,0.9566717198439872,0.6664088874269483
135,VTHS,none,none,0.8938268791557156,0.9560654806814749,0.9541276440599137,0.632505079539191
136,VTHS,none,none,0.9056479992399048,0.9557628411783353,0.9619527683786019,0.6490342476221873
137,VTHS,none,none,0.8968923151047941,0.9593740170895465,0.9571784281921598,0.6506889196726968
138,VTHS,none,none,0.8905083112503012,0.9605011365819212,0.9568420941005504,0.6577142760604886
139,VTHS,none,none,0.920162855379269,0.9645210621415167,0.9690380791007753,0.6636772619160685
140,VTHS,none,none,0.9223040795553443,0.9608481321786418,0.9697289526727887,0.675956957619791
141,VTHS,none,none,0.9117080221633341,0.9658503704572721,0.96332925808267,0.6647760149875664
142,VTHS,none,none,0.927005540833534,0.9633699609464359,0.9684851445174465,0.6744695655955895
143,VTHS,none,none,0.9195757730749299,0.9654750196467448,0.9672191315213494,0.6621662234965522
144,VTHS,none,none,0.9233919537460853,0.9614115418689605,0.9698327783472895,0.6704589107291086
145,VTHS,none,none,0.9101421344254397,0.9567634639151402,0.9629205086117266,0.6587804925414305
146,VTHS,none,none,0.906115131030814,0.9605442986098717,0.9626085762894226,0.6586209928590656
147,VTHS,none,none,0.9207650797026851,0.9622365607000342,0.9690667719532323,0.6723118403720175
148,VTHS,none,none,0.8941218983377499,0.9613519004699623,0.9538974675960348,0.6515330615028225
149,VTHS,none,none,0.9177306673090821,0.9656427152598771,0.9666938556320086,0.6596544896486167
150,VTHS,clahe,clahe,0.9049640863862337,0.9567045094585879,0.9579155568998716,0.657230316631064
151,VTHS,clahe,clahe,0.903768982183822,0.9642723580940916,0.9615343825911307,0.6664151521884374
152,VTHS,clahe,clahe,0.9090127226720819,0.9393797836957264,0.9611952787068891,0.6571200623491906
153,VTHS,clahe,clahe,0.9016706902035738,0.9548450383613852,0.9553398095280101,0.6456291228038457
154,VTHS,clahe,clahe,0.9103830402312696,0.9544185438886122,0.9606703123314515,0.6540838042362495
155,VTHS,clahe,clahe,0.9084557937846303,0.9527308474050995,0.9604349127947349,0.652772464132182
156,VTHS,clahe,clahe,0.907575285877703,0.9604828233933367,0.9610218477193581,0.658159904995015
157,VTHS,clahe,clahe,0.8977222223427958,0.9551448238406103,0.9557148466843913,0.6494028031239669
158,VTHS,clahe,clahe,0.9047217537942664,0.9614089278134865,0.9609754690784394,0.6561101012008461
159,VTHS,clahe,clahe,0.903155866056372,0.9551035810113683,0.9589739363086511,0.6583971059910197
160,VTHS,clahe,clahe,0.8835724124509959,0.9564504120054641,0.9448015221370184,0.6240997586665016
161,VTHS,clahe,clahe,0.8972644450440965,0.9541442423555803,0.9568775233979734,0.6527399255467897
162,VTHS,clahe,clahe,0.9123441850495573,0.950196213113979,0.9648762812488856,0.6632176544052822
163,VTHS,clahe,clahe,0.8985419669592158,0.9538404218117601,0.9578257116908053,0.6581780821181611
164,VTHS,clahe,clahe,0.8665691307624979,0.9495793232564447,0.9405045034288144,0.6396529525974144
165,VTHS,clahe,clahe,0.9026740544447122,0.9550565282415441,0.959094761861559,0.6598697991781539
166,VTHS,clahe,clahe,0.9009184242461364,0.9419426522092902,0.9580638206445652,0.6531062719274909
167,VTHS,clahe,clahe,0.9023126957359673,0.9550440108058048,0.9594684099469355,0.6536363914123942
168,VTHS,clahe,clahe,0.8943628041435798,0.9586470935513495,0.9584510592717286,0.6604699764159231
169,VTHS,clahe,clahe,0.9064080944350759,0.9536161106036466,0.9593812010681456,0.6578794152042002
170,VTHS,clahe,clahe,0.9015046122971924,0.9589969173188541,0.9608188993136818,0.6561733788018915
171,VTHS,clahe,clahe,0.9081776307745953,0.949022558946764,0.9621857320788568,0.6658610991151304
172,VTHS,clahe,clahe,0.9041786908565999,0.957889317980971,0.9643820200965749,0.664270181248207
173,VTHS,clahe,clahe,0.9126583823042508,0.9581430691211477,0.9664299129142307,0.6702065481858479
174,VTHS,clahe,clahe,0.9005059021922428,0.9584628916645842,0.9573707179764775,0.656357022845237
175,VTHS,clahe,clahe,0.9047084505207046,0.9612228969570862,0.9602232710473612,0.6585659695669847
176,VTHS,clahe,clahe,0.9201586554031748,0.9534457458268422,0.9654486508976127,0.662139372451489
177,VTHS,clahe,clahe,0.9011081667068176,0.9544660765881978,0.9582135146176073,0.6528250403895381
178,VTHS,clahe,clahe,0.8967718622018791,0.9445663368846428,0.9558725028798692,0.6490898990861822
179,VTHS,clahe,clahe,0.8931210179102254,0.9524708153469884,0.9512389962833316,0.6338789153274729
180,VTHS,clahe,none,0.9289327872801735,0.956666458184882,0.9702884765715425,0.6729140852403276
181,VTHS,clahe,none,0.9055649241146712,0.9528648088756411,0.9591850693580657,0.650487493784523
182,VTHS,clahe,none,0.8926764635027704,0.9501212151851671,0.9514380105722432,0.6493671552407616
183,VTHS,clahe,none,0.8983377499397736,0.9512200111508691,0.9549600256841406,0.6517868411874632
184,VTHS,clahe,none,0.9080944350758853,0.958847059206636,0.9623880876608365,0.6573474238632169
185,VTHS,clahe,none,0.8654772173602978,0.941062384608672,0.935150874984315,0.6169373796066886
186,VTHS,clahe,none,0.897133220910624,0.9529699610110808,0.9565445753601823,0.6533952995845483
187,VTHS,clahe,none,0.9186837001620588,0.9625185139072895,0.967182339797034,0.6674349334684202
188,VTHS,clahe,none,0.9267646350277041,0.9628261928130938,0.9711225524579722,0.6670217222874679
189,VTHS,clahe,none,0.897133220910624,0.9546982188653123,0.9612001800383642,0.6461449764967876
190,VTHS,clahe,none,0.9259214647072994,0.9590098822615412,0.9702527993067586,0.6660949259594114
191,VTHS,clahe,none,0.8940080367848777,0.960031326720203,0.9571689928634521,0.6593729369033596
192,VTHS,clahe,none,0.8988303729731498,0.9590031717386259,0.9575351905128111,0.6518996326651803
193,VTHS,clahe,none,0.9127920982895688,0.961587669900698,0.9695983493821305,0.6622960482479172
194,VTHS,clahe,none,0.8945383591252056,0.9654206730961139,0.9572569594308477,0.6444112130193983
195,VTHS,clahe,none,0.9180564678035167,0.9556152076555607,0.9662681610831327,0.6602785381733386
196,VTHS,clahe,none,0.907617747836972,0.9610971498500079,0.9638591304179541,0.6723984722094729
197,VTHS,clahe,none,0.9254396530956396,0.9631385406265245,0.9704809428757285,0.6738736016217499
