index,seed,batch_size,learning_rate,mse_x100
566,3018634836,16,0.0001,2.011468
314,1796087701,16,0.0001,3.007431
174,991190390,16,0.0001,2.406049
405,2211282408,16,0.0001,4.989545
489,2585143696,16,0.0001,3.64163
80,487066478,16,0.0001,1.864114
315,1797484985,16,0.0001,2.47473
605,3210919292,16,0.0001,2.657992
493,2597160931,16,0.0001,4.499862
556,2982351522,16,0.0001,4.211115
444,2373182733,16,0.0001,5.158002
141,759366544,16,0.0001,1.863404
358,2001446305,16,0.0001,5.503648
628,3317131472,16,0.0001,1.859582
210,1224758575,16,0.0001,2.850453
579,3074781400,16,0.0001,1.491085
1,2585565,16,0.0001,2.243865
740,4005091998,16,0.0001,3.749237
109,641498662,16,0.0001,1.871533
368,2083231923,16,0.0001,5.070154
115,672812068,16,0.0001,3.573593
555,2976126774,16,0.0001,2.460412
180,1021872130,16,0.0001,5.213128
608,3221008606,16,0.0001,3.694171
129,717391268,16,0.0001,2.570235
645,3450842335,16,0.0001,3.239674
392,2149319987,16,0.0001,3.52934
586,3111251398,16,0.0001,2.451767
401,2187548497,16,0.0001,7.65263
143,781251858,16,0.0001,2.020298
391,2145378635,16,0.0001,1.752538
565,3009626575,16,0.0001,6.719032
354,1987728663,16,0.0001,4.803389
84,507496632,16,0.0001,2.562991
462,2452641052,16,0.0001,2.725478
110,644326255,16,0.0001,4.137066
267,1560023934,16,0.0001,3.951663
145,783459538,16,0.0001,4.599319
51,345973407,16,0.0001,4.763028
242,1402379614,16,0.0001,2.669222
309,1749500094,16,0.0001,2.097629
753,4034223012,16,0.0001,3.076871
211,1225371478,16,0.0001,3.724428
304,1736468365,16,0.0001,2.180238
779,4162789371,16,0.0001,2.139227
502,2644119078,16,0.0001,2.087554
124,701262332,16,0.0001,2.533836
178,1017813104,16,0.0001,4.85932
183,1058977134,16,0.0001,1.695133
38,222115573,16,0.0001,1.618644
126,709488003,16,0.0001,2.215649
66,441903163,16,0.0001,3.121761
569,3047914943,16,0.0001,3.308497
582,3091059649,16,0.0001,7.433016
77,474476532,16,0.0001,2.180854
763,4095056614,16,0.0001,3.841703
346,1951396201,16,0.0001,2.509512
381,2120555403,16,0.0001,6.366207
349,1965553203,16,0.0001,2.656951
302,1718152509,16,0.0001,2.88631
715,3902556337,16,0.0001,3.734367
144,781344883,16,0.0001,4.753588
459,2445891866,16,0.0001,4.482104
