index,seed,epsilon,learning_rate,mse_x100
685,3718607756,10,0.0001,0.997046
355,1990565386,10,0.0001,1.234103
380,2116698056,10,0.0001,0.860166
156,873528928,10,0.0001,1.049519
751,4029170195,10,0.0001,1.068147
545,2913565300,10,0.0001,0.976143
396,2171375478,10,0.0001,1.092556
790,4230484950,10,0.0001,1.061935
580,3074899657,10,0.0001,1.088829
539,2858412184,10,0.0001,0.870316
765,4096716347,10,0.0001,1.043833
20,113951388,10,0.0001,1.013421
622,3280069301,10,0.0001,1.081121
207,1206140304,10,0.0001,0.898062
720,3919981646,10,0.0001,0.79139
694,3773467844,10,0.0001,1.10392
407,2218081895,10,0.0001,1.066225
737,3998883404,10,0.0001,0.998302
95,575978247,10,0.0001,1.013067
123,698661837,10,0.0001,0.94386
607,3213404351,10,0.0001,0.919568
747,4012949866,10,0.0001,1.052137
8,63770697,10,0.0001,1.06941
630,3324770988,10,0.0001,1.08243
104,611470222,10,0.0001,1.112025
520,2708084368,10,0.0001,1.188148
378,2110399372,10,0.0001,1.149548
523,2727080836,10,0.0001,0.975702
698,3821647639,10,0.0001,1.071851
758,4069714311,10,0.0001,1.091793
559,2992502269,10,0.0001,1.027136
371,2092777968,10,0.0001,0.995627
173,980874954,10,0.0001,0.955337
82,488568334,10,0.0001,0.99937
322,1829731540,10,0.0001,1.005613
273,1575968805,10,0.0001,0.950056
35,213829350,10,0.0001,1.028549
494,2609623421,10,0.0001,0.971376
208,1206497624,10,0.0001,1.053096
567,3023607553,10,0.0001,1.183589
167,951959350,10,0.0001,0.882551
445,2382346440,10,0.0001,1.011498
132,725457662,10,0.0001,0.917803
736,3996925899,10,0.0001,1.079104
225,1300399558,10,0.0001,0.980564
511,2666689594,10,0.0001,1.124596
161,917863822,10,0.0001,0.949297
536,2840401791,10,0.0001,0.896996
213,1250205866,10,0.0001,1.055424
657,3522842684,10,0.0001,0.973451
413,2242720123,10,0.0001,0.916623
149,838642985,10,0.0001,0.972781
627,3296276165,10,0.0001,0.904166
83,489607384,10,0.0001,0.973028
357,2000270744,10,0.0001,0.969205
458,2443526863,10,0.0001,1.018083
470,2480612162,10,0.0001,0.84799
122,697844756,10,0.0001,0.917735
796,4273763043,10,0.0001,0.925452
154,864008938,10,0.0001,1.002098
150,845804599,10,0.0001,1.107978
577,3072429963,10,0.0001,0.951939
430,2311437751,10,0.0001,1.272868
295,1685722815,10,0.0001,1.032596
